city,population,weekly_cases,case_counts,latitude,longitude
Andover,3231,0,0,41.737321200000004,-72.37036
Ansonia,18721,6,5,41.342992200000005,-73.0787468
Ashford,4261,0,0,41.8731532,-72.1214653
Avon,18302,10,8,41.8098209,-72.8306541
Barkhamsted,3624,0,0,41.9292629,-72.9139904
Beacon Falls,6182,0,0,41.4428745,-73.062608
Berlin,20432,<5,2,41.621488,-72.7456519
Bethany,5479,<5,5,41.42176370000001,-72.9970496
Bethel,19714,10,7,41.372643,-73.412668
Bethlehem,3422,0,0,41.6393626,-73.2080798
Bloomfield,21301,7,5,41.826488,-72.7300945
Bolton,4890,<5,3,41.7689878,-72.4334173
Bozrah,2537,0,0,41.55059620000001,-72.168238
Branford,28005,6,3,41.2795414,-72.8150989
Bridgeport,144900,43,4,41.1670412,-73.2048348
Bridgewater,1641,<5,17,41.5350949,-73.3662305
Bristol,60032,11,3,41.6735209,-72.9464859
Brookfield,17002,<5,3,41.48259470000001,-73.4095652
Brooklyn,8280,<5,3,41.7881541,-71.9497957
Burlington,9665,<5,1,41.7692648,-72.9645484
Canaan,1055,0,0,41.959478999999995,-73.31175710802879
Canterbury,5100,<5,6,41.698431899999996,-71.9709075
Canton,10270,<5,6,41.8245424,-72.8937122
Chaplin,2256,0,0,41.4894884,2.14522555
Cheshire,29179,9,4,41.4989861,-72.900658
Chester,4229,<5,3,41.4031547,-72.4509204
Clinton,12950,9,10,41.2756115,-72.52853197757256
Colchester,15936,<5,2,41.579503,-72.341581249226
Colebrook,1405,0,0,41.9895388,-73.0956646
Columbia,5385,<5,3,41.702043200000006,-72.3011917
Cornwall,1368,0,0,41.843705799999995,-73.3292848
Coventry,12414,<5,6,41.770098700000005,-72.3050803
Cromwell,13905,<5,2,41.5949942,-72.6455665
Danbury,84730,84,14,41.394816999999996,-73.4540111
Darien,21753,<5,3,41.0787079,-73.4692873
Deep River,4463,0,0,41.3856546,-72.4356422
Derby,12515,<5,3,41.3223611,-73.0890324
Durham,7195,<5,4,41.48176470000001,-72.6812059
East Granby,5147,<5,6,41.9412081,-72.7273158
East Hampton,12854,<5,1,41.5744405,-72.49192364130434
East Hartford,49998,22,6,41.7823216,-72.6120346
East Haven,28699,<5,0,41.2762081,-72.8684337
East Lyme,18645,<5,2,41.3569909,-72.2258709
East Windsor,11375,<5,1,41.9156316,-72.6130726
Eastford,1790,0,0,41.902068,-72.0799095
Easton,7517,<5,2,41.252873799999996,-73.2973394
Ellington,16299,0,0,41.90398629999999,-72.4698071
Enfield,44466,7,2,41.97893870000001,-72.5755109
Essex,6674,<5,2,41.353432,-72.3906406
Fairfield,61952,8,2,41.1412078,-73.2637258
Farmington,25506,<5,1,41.7198216,-72.8320435
Franklin,1933,0,0,41.608987299999995,-72.1459112
Glastonbury,34491,6,2,41.7123218,-72.608146
Goshen,2879,0,0,41.8317624,-73.2251145
Granby,11375,<5,5,41.953985499999995,-72.7887071
Greenwich,62727,8,2,41.0264862,-73.6284598
Griswold,11591,<5,2,41.6035026,-71.9622443
Groton,38692,<5,2,41.3506989,-72.0773654
Guilford,22216,9,6,41.2889866,-72.6817616
Haddam,8222,<5,3,41.4773213,-72.5120333
Hamden,60940,<5,0,41.3959287,-72.8968716
Hampton,1853,0,0,41.7948205,-72.1272989
Hartford,122587,69,8,41.764582,-72.6908547
Hartland,2120,0,0,41.996206,-72.9795488
Harwinton,5430,0,0,41.7712085,-73.05983
Hebron,9482,<5,3,41.6578767,-72.3659161
Kent,2785,<5,21,41.724646,-73.4770859
Killingly,17287,7,6,41.8321295,-71.84966233220715
Killingworth,6370,<5,4,41.3581545,-72.5637023
Lebanon,7207,<5,6,41.6362097,-72.2125789
Ledyard,14736,<5,5,41.4386053,-72.0175193
Lisbon,4248,<5,3,41.586685100000004,-72.0207809
Litchfield,8127,<5,4,41.747319,-73.1887243
Lyme,2338,<5,6,41.3910989,-72.35115313007137
Madison,18106,<5,3,41.2794282,-72.5983151
Manchester,57699,29,7,41.78126995,-72.53062934076323
Mansfield,25817,45,25,41.775481400000004,-72.2148133
Marlborough,6358,0,0,41.631488,-72.459808
Meriden,59540,19,5,41.5381535,-72.8070435
Middlebury,7731,<5,2,41.5278742,-73.1276107
Middlefield,4380,<5,10,41.516516100000004,-72.7120793
Middletown,46146,<5,2,41.562317799999995,-72.6509061
Milford,54661,10,3,41.2222218,-73.0570603
Monroe,19470,<5,1,41.332596200000005,-73.2073358
Montville,18716,<5,4,41.464981099999996,-72.1538184
Morris,2262,0,0,41.6842633,-73.1962245
Naugatuck,31288,8,4,41.4860186,-73.0509432
New Britain,72453,47,9,41.6612104,-72.7795419
New Canaan,20213,<5,3,41.146763,-73.4948446
New Fairfield,13877,<5,3,41.466483200000006,-73.4856789
New Hartford,6685,<5,4,41.882318700000006,-72.9770488
New Haven,130418,27,3,41.3082138,-72.9250518
New London,26939,<5,1,41.3556187,-72.0997804
New Milford,26974,9,5,41.57709929999999,-73.4105803
Newington,30112,6,3,41.6978777,-72.7237063
Newtown,27774,7,4,41.41347639999999,-73.3086445
Norfolk,1640,0,0,41.9939828,-73.2020577
North Canaan,3254,<5,4,42.021285,-73.29507210756606
North Haven,23691,<5,2,41.390930499999996,-72.859545
Norwich,39136,16,6,41.5242649,-72.0759105
Old Lyme,7366,<5,2,41.3159315,-72.3289715
Old Saybrook,10087,0,0,41.2917652,-72.3761956
Orange,13949,<5,1,41.2784304,-73.0256609
Oxford,13226,<5,1,41.4351795,-73.1172769
Plainfield,15173,0,0,41.6764876,-71.915073
Plainville,17623,<5,3,41.6711395,-72.8672429
Plymouth,11645,<5,4,41.672041799999995,-73.0528853
Pomfret,4204,0,0,41.8975977,-71.9625736
Portland,9305,<5,5,41.5728924,-72.6406905
Preston,4638,<5,3,41.526802200000006,-71.982138
Prospect,9790,<5,3,41.5023192,-72.9787163
Putnam,9395,0,0,41.9153094,-71.9092563
Redding,9125,0,0,41.302595600000004,-73.3834532
Ridgefield,25008,6,3,41.2814842,-73.4981792
Rocky Hill,20145,<5,3,41.6648216,-72.6392587
Roxbury,2160,<5,20,41.5568282,-73.3088922
Salem,4123,0,0,41.4903761,-72.275359
