city,case_counts
Andover,4.4
Ansonia,3.8
Ashford,0
Avon,3.1
Barkhamsted,0
Beacon Falls,2.3
Berlin,3.5
Bethany,3.9
Bethel,3.6
Bethlehem,2.1
Bloomfield,11.7
Bolton,5.8
Bozrah,5.6
Branford,1.8
Bridgeport,5.4
Bridgewater,4.4
Bristol,4.5
Brookfield,2.9
Brooklyn,8.6
Burlington,4.4
Canaan,0
Canterbury,7.0
Canton,3.5
Chaplin,6.3
Cheshire,4.4
Chester,3.4
Clinton,3.9
Colchester,9.4
Colebrook,0
Columbia,0
Cornwall,0
Coventry,4.6
Cromwell,4.6
Danbury,14.2
Darien,1.6
Deep River,0
Derby,4.6
Durham,3.0
East Granby,1.4
East Haddam,2.4
East Hampton,2.8
East Hartford,11.4
East Haven,2.7
East Lyme,8.4
East Windsor,0.6
Eastford,8.0
Easton,2.9
Ellington,3.1
Enfield,3.5
Essex,2.1
Fairfield,11.1
Farmington,4.5
Franklin,11.1
Glastonbury,4.6
Goshen,0
Granby,1.9
Greenwich,0.8
Griswold,14.8
Groton,7.6
Guilford,1.3
Haddam,5.2
Hamden,2.3
Hampton,0
Hartford,11.9
Hartland,0
Harwinton,1.3
Hebron,8.3
Kent,0
Killingly,1.7
Killingworth,3.4
Lebanon,9.9
Ledyard,10.7
Lisbon,5.0
Litchfield,9.7
Lyme,0
Madison,0
Manchester,5.8
Mansfield,11.3
Marlborough,2.2
Meriden,5.2
Middlebury,1.8
Middlefield,3.3
Middletown,2.9
Milford,3.4
Monroe,1.5
Montville,9.5
Morris,0
Naugatuck,7.3
New Britain,14.3
New Canaan,3.2
New Fairfield,3.1
Hartford,1.1
New Haven,2.4
New London,30.5
New Milford,1.9
Newington,5.7
Newtown,2.3
Norfolk,4.4
Branford,2.5
North Canaan,0
North Haven,2.1
Stonington,2.7
Norwalk,5.5
Norwich,46.9
Old Lyme,1.0
Old Saybrook,2.1
Orange,3.1
Oxford,2.7
Plainfield,7.1
Plainville,3.6
Plymouth,1.2
Pomfret,1.7
Portland,3.1
Preston,23.1
Prospect,3.6
Putnam,2.3
Redding,2.3
Ridgefield,2.6
Rocky Hill,2.5
Roxbury,0
Salem,13.9
Salisbury,4.0
Scotland,0
Seymour,1.7
Sharon,0
Shelton,2.1
Sherman,0
Simsbury,1.4
Somers,6.6
Windsor,5.2
Southbury,2.2
Southington,2.8
Sprague,14.8
Stafford,3.6
Stamford,5.0
Sterling,1.9
Stonington,3.1
Stratford,4.0
Suffield,7.3
Thomaston,0
Thompson,4.6
Tolland,2.4
Torrington,2.3
Trumbull,1.6
Union,0
Vernon,4.9
Voluntown,14.1
Wallingford,3.7
Warren,0
Washington,0
Waterbury,9.1
Waterford,7.9
Watertown,5.0
West Hartford,6.9
West Haven,2.7
Westbrook,3.1
Weston,2.1
Westport,2.8
Wethersfield,4.7
Willington,1.2
Wilton,2.3
Winchester,2.0
Windham,24.0
Windsor,3.7
Windsor Locks,2.2
Wolcott,3.4
Woodbridge,4.1
Woodbury,2.2
Woodstock,0.9
