city,case_counts
Andover,0
Ansonia,3
Ashford,3
Avon,4
Barkhamsted,0
Beacon Falls,5
Berlin,3
Bethany,4
Bethel,3
Bethlehem,0
Bloomfield,7
Bolton,7
Bozrah,3
Branford,2
Bridgeport,5
Bridgewater,4
Bristol,4
Brookfield,3
Brooklyn,7
Burlington,3
Canaan,0
Canterbury,3
Canton,2
Chaplin,9
Cheshire,1
Chester,7
Clinton,3
Colchester,8
Colebrook,5
Columbia,0
Cornwall,0
Coventry,7
Cromwell,3
Danbury,13
Darien,2
Deep River,2
Derby,3
Durham,4
East Granby,1
East Haddam,2
East Hampton,3
East Hartford,8
East Haven,2
East Lyme,5
East Windsor,1
Eastford,8
Easton,0
Ellington,3
Enfield,3
Essex,1
Fairfield,7
Farmington,5
Franklin,7
Glastonbury,2
Goshen,0
Granby,1
Greenwich,2
Griswold,7
Groton,5
Guilford,1
Haddam,1
Hamden,2
Hampton,0
Hartford,9
Hartland,3
Harwinton,0
Hebron,5
Kent,3
Killingly,1
Killingworth,3
Lebanon,3
Ledyard,10
Lisbon,3
Litchfield,5
Lyme,3
Madison,2
Manchester,4
Mansfield,6
Marlborough,2
Meriden,4
Middlebury,2
Middlefield,8
Middletown,2
Milford,2
Monroe,0
Montville,5
Morris,0
Naugatuck,5
New Britain,11
New Canaan,4
New Fairfield,5
New Hartford,1
New Haven,2
New London,14
New Milford,3
Newington,4
Newtown,4
Norfolk,9
North Branford,3
North Canaan,2
North Haven,1
Stonington,0
Norwalk,4
Norwich,24
Old Lyme,0
Old Saybrook,2
Orange,3
Oxford,2
Plainfield,3
Plainville,3
Plymouth,1
Pomfret,3
Portland,2
Preston,18
Prospect,1
Putnam,2
Redding,2
Ridgefield,2
Rocky Hill,2
Roxbury,3
Salem,12
Salisbury,2
Scotland,0
Seymour,0
Sharon,0
Shelton,1
Sherman,2
Simsbury,2
Somers,2
South Windsor,2
Southbury,3
Southington,2
Sprague,5
Stafford,1
Stamford,4
Sterling,2
Stonington,2
Stratford,2
Suffield,4
Thomaston,5
Thompson,2
Tolland,3
Torrington,4
Trumbull,2
Union,0
Vernon,3
Voluntown,6
Wallingford,3
Warren,0
Washington,4
Waterbury,7
Waterford,5
Watertown,2
West Hartford,7
West Haven,2
Westbrook,1
Weston,1
Westport,2
Wethersfield,3
Willington,4
Wilton,2
Winchester,1
Windham,19
Windsor,4
Windsor Locks,3
Wolcott,4
Woodbridge,3
Woodbury,3
